content,score,thumbsUpCount,reviewCreatedVersion,at,appVersion,app_name,compound,sentiment,rating_category
faltu app hai abhi tk million views nhi aaye🥀😂,5,0,437.0.0.33.78,2026-09-10 10:37:34,437.0.0.33.78,Instagram,0.4404,Positive,High
please don't install this app in my mobile,1,0,445.0.0.45.83,2026-09-10 10:36:46,445.0.0.45.83,Instagram,0.3182,Positive,Low
it's good my favorite apps 😃😃 and i want iphone give me plss,5,0,,2026-09-10 10:35:18,,Instagram,0.8807,Positive,High
josep mai,1,0,,2026-09-10 10:35:03,,Instagram,0.0,Neutral,Low
🥰🥰❤️❤️,5,0,,2026-09-10 10:35:03,,Instagram,0.9393,Positive,High
amazing,5,0,445.0.0.45.83,2026-09-10 10:34:38,445.0.0.45.83,Instagram,0.5859,Positive,High
so nice,5,0,444.0.0.46.85,2026-09-10 10:34:31,444.0.0.46.85,Instagram,0.4754,Positive,High
mere follow like shera badha do,5,0,,2026-09-10 10:34:06,,Instagram,0.3612,Positive,High
good,4,0,410.1.0.63.71,2026-09-10 10:33:48,410.1.0.63.71,Instagram,0.4404,Positive,High
best app,5,0,446.0.0.49.77,2026-09-10 10:33:46,446.0.0.49.77,Instagram,0.6369,Positive,High
"my instagram account has been permanently disabled. even though i did video selfie verification and provided all my government documents but it didn't accept. i tried in all possible ways to get my account back but nothing has worked in my favour. what all extra should i do to get my account back. ai is automatically not accepting my account, i need human verification. please take my request sincerely and unable for my account.",1,0,,2026-09-10 10:33:24,,Instagram,0.7505,Positive,Low
very good,5,0,446.0.0.49.77,2026-09-10 10:33:24,446.0.0.49.77,Instagram,0.4927,Positive,High
good but you should allow everyone to see everyone ppst like we cant see @axumplesar post,2,0,445.0.0.45.83,2026-09-10 10:31:43,445.0.0.45.83,Instagram,0.7615,Positive,Low
ok,5,0,446.0.0.49.77,2026-09-10 10:31:14,446.0.0.49.77,Instagram,0.296,Positive,High
love it,5,0,,2026-09-10 10:30:36,,Instagram,0.6369,Positive,High
nice,5,0,413.0.0.41.84,2026-09-10 10:30:20,413.0.0.41.84,Instagram,0.4215,Positive,High
i am a editor please help me,5,0,445.0.0.45.83,2026-09-10 10:30:19,445.0.0.45.83,Instagram,0.6124,Positive,High
it's good,5,0,,2026-09-10 10:29:53,,Instagram,0.4404,Positive,High
😍😍😍😍,5,0,278.0.0.22.117,2026-09-10 10:29:39,278.0.0.22.117,Instagram,0.9001,Positive,High
good,5,0,,2026-09-10 10:29:28,,Instagram,0.4404,Positive,High
good social media app my video is viral instagram teem 👍👍👍,5,0,400.0.0.49.68,2026-09-10 10:27:57,400.0.0.49.68,Instagram,0.4404,Positive,High
avatar,1,0,399.0.0.51.85,2026-09-10 10:27:51,399.0.0.51.85,Instagram,0.0,Neutral,Low
please follower udwa,3,0,445.0.0.45.83,2026-09-10 10:27:39,445.0.0.45.83,Instagram,0.3182,Positive,Medium
